codmun,pharmacy,hospital,police,school,bank,embassy,tower,government,primary,secondary,unpaved,paved
1,0,0,0,0,0,0,163,0,18,0,4,0
2,0,1,1,1,1,0,0,0,0,0,2,5
3,0,0,0,0,0,0,0,0,0,0,14,5
4,0,0,0,0,0,0,235,0,10,3,9,0
5,0,0,0,0,0,0,192,0,14,0,5,0
6,0,0,0,3,0,0,0,0,27,3,71,22
7,0,0,2,0,0,0,60,0,10,3,27,8
8,0,0,0,0,0,0,0,0,3,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,1,0,0,0,0,0,12,14,6
11,0,0,0,0,0,0,0,0,7,0,2,0
12,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,1,0,0,28,0,12,0,38,3
14,0,0,0,0,0,0,0,0,6,8,71,4
15,0,0,0,0,0,0,0,0,0,0,0,0
16,1,2,3,1,3,0,433,0,191,66,74,104
17,0,0,0,0,0,0,0,0,8,0,36,1
18,0,1,0,3,0,0,0,0,0,0,12,0
19,0,0,0,0,0,0,113,0,21,0,3,6
20,0,0,2,0,0,0,310,0,44,0,58,8
21,0,0,0,0,0,0,0,0,13,0,5,2
22,0,1,2,2,2,0,229,0,2,4,11,13
23,0,1,0,2,0,0,446,0,22,0,14,43
24,0,0,1,3,1,0,0,0,30,1,10,0
25,5,3,3,8,3,0,331,0,54,1,21,7
26,2,0,2,0,1,0,153,0,37,14,214,102
27,0,0,0,1,1,0,0,0,36,0,0,0
28,0,0,1,3,0,0,0,0,22,16,12,0
29,0,0,0,0,0,0,0,0,14,5,6,0
30,0,0,0,1,0,0,0,0,5,0,1,2
31,0,0,0,0,0,0,0,0,1,1,17,0
32,0,0,1,0,1,0,65,0,21,4,61,0
33,0,1,1,3,0,0,58,0,6,0,0,0
34,0,0,0,0,0,0,0,0,9,2,16,3
35,0,0,0,0,0,0,32,0,17,1,7,0
36,0,0,0,0,0,0,12,0,13,0,0,0
37,0,0,1,2,0,0,93,0,33,15,16,0
38,0,0,0,0,0,0,12,0,12,0,17,0
39,0,0,1,1,0,0,156,0,22,1,1,26
40,0,0,0,2,0,0,73,0,10,1,3,4
41,0,0,0,0,0,0,63,0,0,5,0,0
42,0,0,0,2,0,0,51,0,3,0,9,0
43,0,0,0,1,0,0,0,0,3,6,2,0
44,0,1,0,1,0,0,0,0,6,0,0,7
45,0,0,0,0,0,0,74,0,11,0,0,2
46,0,0,0,0,0,0,0,0,33,8,22,0
47,0,0,0,0,0,0,0,0,1,10,33,0
48,0,1,2,3,0,0,1422,0,31,28,17,23
49,0,0,0,1,0,0,0,0,4,0,2,4
50,0,0,0,0,0,0,0,0,3,1,0,0
51,0,0,0,0,0,0,140,0,7,0,29,0
52,0,0,0,0,0,0,0,0,3,0,3,0
53,0,0,1,1,0,0,45,0,6,0,5,0
54,0,0,1,2,0,0,0,0,16,0,88,8
55,0,0,0,0,0,0,0,0,4,0,11,4
56,2,0,0,4,2,0,231,0,5,0,0,0
57,0,0,0,0,0,0,168,0,9,1,22,2
58,0,0,0,1,0,0,358,0,8,0,3,2
