codmun,pharmacy,hospital,police,school,bank,embassy,tower,commercial,industrial,government,supermarket,park,primary,secondary,unpaved,paved
17001,0,0,0,0,0,0,31,0,0,0,0,0,7,1,0,0
17002,0,0,1,1,0,0,0,0,0,0,0,0,8,2,0,0
17003,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0
17004,0,0,0,0,0,0,102,0,0,0,0,0,3,15,0,50
17005,0,0,0,12,0,0,0,0,0,0,0,0,10,3,0,11
17006,2,0,1,0,6,0,52,0,0,0,0,2,13,13,0,4
17007,7,6,0,13,15,0,52,0,0,0,0,2,74,61,13,13
17008,1,2,1,0,0,0,72,0,0,0,0,0,0,7,0,0
17009,0,0,0,0,0,0,66,0,0,0,0,0,13,0,3,24
17010,0,0,0,2,0,0,0,0,0,0,0,4,3,4,0,1
17011,2,5,1,6,2,0,24,0,1,0,0,0,17,7,15,10
17012,2,1,0,9,4,0,0,0,0,0,0,1,0,13,2,4
17013,0,0,0,3,1,0,0,0,0,0,0,8,0,10,2,3
17014,0,0,0,1,0,0,10,0,0,0,0,1,9,1,0,6
17015,0,1,0,1,0,0,38,0,0,0,0,0,10,5,1,0
17016,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
17017,0,1,0,0,0,0,26,0,0,0,0,0,9,16,3,1
17018,6,1,0,1,4,0,46,0,0,0,0,0,15,1,9,0
17019,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,1
17020,1,0,0,0,1,0,31,0,0,0,0,0,4,27,13,4
17021,1,2,0,6,0,0,0,0,0,0,0,1,6,0,9,32
17022,0,2,0,2,0,0,16,0,0,0,0,0,0,4,0,0
17023,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17024,1,2,0,1,1,0,0,0,0,0,0,0,1,4,0,5
17025,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1
17026,0,0,0,1,0,0,28,0,0,0,0,0,7,4,0,0
17027,0,0,0,0,0,0,14,0,0,0,0,0,1,2,0,0
17028,0,0,0,1,0,0,33,0,0,0,0,3,21,14,14,12
17029,2,4,0,6,3,0,171,0,0,0,0,1,10,29,2,4
17030,0,0,0,0,0,0,26,0,0,0,0,1,2,0,1,2
17031,0,0,0,2,0,0,0,0,0,0,0,0,0,8,1,0
17032,0,0,0,0,0,0,23,0,0,0,0,1,0,3,0,0
17033,0,1,0,2,0,0,0,0,0,0,0,3,0,8,0,0
18001,0,0,0,101,0,0,180,0,0,0,0,0,16,9,50,5
18002,0,0,0,30,1,0,0,0,0,0,0,0,15,6,0,0
18003,0,0,0,33,0,0,0,0,0,0,0,0,0,11,1,0
18004,0,2,0,118,1,0,75,0,0,0,0,0,30,31,33,18
18005,0,0,0,82,0,0,0,0,0,0,0,0,0,0,1,0
18006,0,3,3,42,6,0,121,0,0,0,0,0,7,0,1,0
18007,0,0,0,37,0,0,151,0,0,0,0,0,0,6,0,0
18008,0,0,0,35,0,0,36,0,0,0,0,0,17,10,5,47
18009,0,0,0,233,0,0,15,0,0,0,0,0,0,19,0,0
18010,0,0,0,68,0,0,153,0,0,0,0,0,8,4,7,1
18011,0,0,0,54,0,0,34,0,0,0,0,0,4,25,0,0
18012,2,3,0,85,1,0,0,0,0,0,0,0,40,84,196,26
18013,0,0,0,15,0,0,0,0,0,0,0,0,0,3,1,0
18014,0,0,0,66,0,0,333,0,0,0,0,0,13,2,14,0
18015,0,0,0,153,0,0,76,0,0,0,0,0,28,59,89,2
18016,0,0,0,68,0,0,0,0,0,0,0,0,0,1,1,13
18017,15,2,2,280,19,0,523,0,1,0,0,2,134,150,2,391
18018,0,0,0,26,0,0,0,0,0,0,0,0,0,2,3,0
