codmun,pharmacy,hospital,police,school,bank,embassy,tower,commercial,industrial,government,supermarket,park,primary,secondary,unpaved,paved
1,0,4,0,2,1,0,650,0,0,0,0,3,110,140,2062,1025
2,0,8,2,3,0,0,631,0,0,0,0,0,174,189,8193,479
3,0,0,0,0,0,0,6,0,0,0,0,0,2,1,20,31
4,0,0,0,1,1,0,196,0,0,0,0,0,96,272,1694,812
5,0,991,1,2,3,0,1326,0,0,0,0,0,229,167,7364,664
6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
7,0,1,1,1,0,0,632,0,0,0,0,0,111,176,3487,288
8,0,35,1,19,1,0,618,0,0,0,0,9,100,111,27062,158
9,0,0,1,7,0,1,81,0,0,0,0,0,30,149,1201,463
10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
11,0,1,0,4,2,0,207,0,0,0,0,1,53,196,1679,227
12,36,75,12,140,34,0,1600,2,3,0,0,2,128,79,3066,499
13,0,0,0,2,4,0,1,0,0,0,0,1,152,159,734,119
14,3,45,1,34,76,0,891,0,0,0,0,2,89,134,7248,1519
15,6,6,4,4,23,8,1093,0,0,0,0,2,280,503,1306,972
16,0,11,6,3,2,0,1798,0,0,0,0,1,122,215,3573,473
17,0,3,1,13,2,0,399,0,0,0,0,0,110,317,3055,438
18,0,93,0,0,0,0,633,0,0,0,0,0,157,134,3779,118
19,7,22,3,19,51,1,1787,0,0,0,0,0,270,281,7106,901
20,0,1047,1,20,7,1,1424,0,0,0,0,0,247,457,27060,1811
21,1,23,0,9,13,0,1179,0,0,0,0,0,338,436,2731,694
22,0,1,0,0,0,0,1026,0,0,0,0,1,233,242,3965,327
23,1,3,0,9,3,0,702,0,0,0,0,1,124,124,1455,291
24,0,4,1,7,0,0,840,0,0,0,0,0,228,57,1639,423
25,9,55,6,13,35,3,110,0,0,0,0,2,261,595,859,760
26,1,0,1,0,1,0,393,0,0,0,0,1,90,122,950,361
27,0,0,0,6,1,0,3546,0,0,0,0,446,263,203,18229,268
28,1,5,0,14,0,0,873,0,0,0,0,1,259,331,2957,1149
29,0,0,0,2,0,0,158,0,0,0,0,3,38,80,360,230
30,2,4,6,19,8,0,635,0,0,0,0,1,206,166,5347,1561
31,3,51,4,19,24,0,395,3,1,0,0,2,109,453,3442,1249
32,1,27,0,0,12,0,1300,0,0,0,0,0,276,173,6615,526
33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
34,2,11,0,2,0,0,512,0,0,0,0,19,112,270,1387,440
35,0,1,0,0,0,0,75,0,0,0,0,1,124,94,5169,225
36,0,10,0,3,0,0,495,0,0,0,0,0,73,87,5473,227
37,0,1,0,0,0,0,665,0,0,0,0,0,141,135,1904,236
