codmun,pharmacy,hospital,police,school,bank,embassy,tower,commercial,industrial,government,supermarket,park,primary,secondary,unpaved,paved
1,0,0,0,0,1,0,0,0,0,0,0,1,44,2,82,10
2,0,0,0,0,0,0,438,0,0,0,0,0,0,17,0,0
3,0,4,3,1,3,0,549,0,0,0,0,0,12,12,38,0
4,0,0,0,0,0,0,128,0,0,0,0,0,7,5,1,0
5,0,0,0,0,0,0,404,0,0,0,0,0,11,73,30,6
6,0,1,0,0,0,0,305,0,0,0,0,0,13,2,0,0
7,0,0,0,0,0,0,561,0,0,0,0,0,1,12,0,0
8,0,0,0,0,0,0,110,0,0,0,0,0,1,11,0,1
9,0,0,0,0,0,0,1005,1,10,0,0,0,4,14,0,0
10,0,0,0,0,0,0,1271,0,0,0,0,0,1,64,1,0
11,0,0,0,1,0,0,1040,0,0,0,0,0,33,26,11,0
12,0,0,1,1,0,0,168,0,0,0,0,0,22,19,0,0
13,0,0,0,0,1,0,788,0,0,0,0,0,30,13,5,5
14,0,0,0,0,0,0,355,0,0,0,0,0,2,7,1,0
15,0,1,0,0,0,0,740,0,0,0,0,0,10,14,0,0
16,0,0,0,0,0,0,55,0,0,0,0,0,0,7,0,0
17,2,2,0,0,2,0,672,0,0,0,0,1,4,34,15,0
18,0,2,0,1,0,0,786,0,0,0,0,2,4,26,0,4
19,0,0,0,0,0,0,978,0,0,0,0,0,19,29,0,0
20,0,0,0,0,0,0,286,0,0,0,0,0,0,10,0,0
21,0,0,0,0,0,0,352,0,0,0,0,0,0,5,0,0
22,0,0,0,0,0,0,401,0,0,0,0,0,1,1,0,0
23,0,0,0,0,0,0,339,0,0,0,0,0,7,27,5,0
24,0,0,0,0,0,0,811,0,0,0,0,0,6,28,0,0
25,0,0,0,0,0,0,62,0,0,0,0,0,0,2,0,0
26,4,4,6,6,8,0,735,0,0,0,0,1,56,105,2,1
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,565,0,0,0,0,0,16,5,0,3
29,0,0,0,0,0,0,194,0,0,0,0,0,19,3,0,0
30,0,0,0,0,0,0,146,0,0,0,0,0,9,9,3,0
31,0,0,1,0,0,0,343,0,0,0,0,0,11,6,0,0
32,42,40,13,118,224,34,857,0,0,0,0,8,137,391,16,79
33,0,1,0,0,0,0,0,0,0,0,0,0,17,15,22,0
34,0,0,0,0,0,0,42,0,0,0,0,0,21,3,0,16
35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
36,2,0,2,3,0,0,35,0,1,0,0,0,11,0,0,2
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0
39,0,1,0,1,0,0,23,0,0,0,0,0,6,5,0,0
40,0,2,2,1,0,0,98,0,0,0,0,0,3,48,15,0
41,1,0,0,2,0,0,466,0,0,0,0,0,10,35,0,0
42,0,0,1,0,0,0,199,0,0,0,0,0,7,15,1,0
43,0,0,0,1,0,0,315,0,0,0,0,0,72,10,0,1
44,0,0,0,0,0,0,23,0,0,0,0,0,0,18,0,0
45,0,0,0,1,0,0,293,0,0,0,0,0,98,21,6,0
46,3,3,5,9,8,0,305,0,1,0,0,1,4,56,14,21
47,0,0,1,2,0,0,270,0,0,0,0,3,34,30,1,17
48,0,0,0,1,3,0,140,0,0,0,0,0,1,20,0,21
49,2,0,1,0,0,0,34,0,0,0,0,0,15,22,1,4
50,0,3,16,6,3,0,269,0,0,0,0,0,94,130,0,0
51,0,6,7,361,9,0,1,0,0,0,0,2,55,14,7,0
52,0,6,4,13,5,0,682,0,0,0,0,0,49,26,0,0
53,0,0,0,0,1,0,361,0,0,0,0,0,21,8,1,0
54,0,5,1,24,4,0,751,0,0,0,0,1,54,122,0,0
55,0,1,1,0,1,0,554,0,0,0,0,0,19,12,2,3
56,1,2,6,8,2,0,602,1,2,0,0,1,55,81,1,1
57,0,0,4,1,0,0,79,0,0,0,0,0,0,4,51,93
58,0,0,0,1,0,0,264,0,0,0,0,0,20,11,0,1
59,0,0,0,0,0,0,268,0,0,0,0,0,21,45,1,0
60,1,2,0,2,0,0,200,0,0,0,0,1,26,48,0,0
61,1,2,1,12,1,0,417,0,0,0,0,0,40,66,6,185
62,0,4,2,3,1,0,659,0,0,0,0,0,84,140,6,36
63,0,2,1,6,0,0,750,0,2,0,0,0,67,37,13,13
64,11,20,34,32,32,0,986,2,86,0,0,13,109,227,2,45
65,0,0,0,0,0,0,96,0,0,0,0,1,2,1,13,68
66,0,4,4,3,4,0,420,0,0,0,0,0,26,45,1,2
67,2,5,5,2,4,0,153,0,0,0,0,0,80,71,0,1
68,0,0,0,0,0,0,229,0,0,0,0,1,21,8,1,7
69,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
70,0,0,1,0,0,0,0,0,0,0,0,0,16,18,0,0
71,1,10,5,13,12,0,2930,1,2,0,0,1,118,110,1,1
72,0,0,2,10,4,0,1018,0,0,0,0,0,44,53,1,1
73,15,11,6,24,30,0,1353,0,0,0,0,2,114,140,4,2
74,1,2,1,5,4,0,585,0,1,0,0,1,43,44,1,12
75,2,3,1,8,3,0,1508,0,1,0,0,2,78,56,0,2
76,0,3,1,4,0,0,543,0,5,0,0,0,61,25,0,0
77,0,8,5,15,9,0,1589,0,1,0,0,2,7,59,0,2
78,14,90,18,85,133,0,3262,0,60,0,0,48,354,213,4,29
79,12,24,4,31,70,0,2096,0,2,0,0,0,79,118,4,1
80,7,37,3,20,30,0,1449,0,8,0,0,2,108,103,3,0
81,0,2,0,5,0,0,307,0,0,0,0,0,65,45,0,2
82,0,0,0,0,0,0,838,0,0,0,0,0,26,33,0,0
