codmun,pharmacy,hospital,police,school,bank,embassy,tower,commercial,industrial,government,supermarket,park,primary,secondary,unpaved,paved
226,3,0,0,0,5,0,270,0,0,0,0,0,0,148,52,162
262,23,0,3,28,19,0,69,0,0,0,0,0,47,52,15,78
206,11,3,3,1,3,0,320,0,0,0,0,0,119,155,128,184
204,7,0,1,3,11,0,58,0,0,0,0,0,33,133,27,19
214,18,0,2,17,14,0,470,0,0,0,0,0,7,240,316,92
201,25,1,1,1,15,0,841,0,0,0,0,0,180,252,966,210
261,27,0,1,4,26,0,214,0,0,0,0,0,161,102,106,64
208,38,4,5,11,20,0,590,0,0,0,0,0,339,486,113,360
210,16,0,0,9,11,0,594,0,0,0,0,0,72,149,78,99
221,10,0,0,3,3,0,453,0,0,0,0,0,50,229,68,74
202,8,2,0,15,1,0,263,0,0,0,0,0,62,176,28,8
220,13,3,1,10,4,0,478,0,0,0,0,0,58,443,169,95
203,20,4,1,10,26,0,614,0,0,0,0,0,74,117,58,43
265,22,1,3,4,18,0,210,0,0,0,0,0,145,150,20,121
222,8,0,1,4,7,0,259,0,0,0,0,0,42,177,17,18
225,22,1,4,5,29,0,1056,0,1,0,0,0,110,283,92,116
223,27,4,3,14,10,0,908,0,0,0,0,0,407,436,720,159
224,11,0,2,4,6,0,527,0,0,0,0,0,150,203,93,41
215,9,0,1,10,14,0,240,0,0,0,0,0,69,111,54,27
216,17,0,3,12,21,0,833,0,0,0,0,0,98,176,40,3
218,6,2,2,2,3,0,276,0,1,0,0,0,128,97,81,33
205,6,4,1,3,2,0,208,0,0,0,0,0,72,205,26,17
213,2,0,0,6,3,0,119,0,0,0,0,0,43,45,11,2
207,12,1,2,3,9,0,344,0,0,0,0,0,66,85,13,15
217,4,1,1,3,2,0,131,0,0,0,0,0,38,43,14,61
219,37,6,2,12,38,0,636,0,0,0,0,0,325,209,82,251
209,7,0,1,3,4,0,649,0,0,0,0,0,133,125,93,5
264,188,7,12,70,203,1,518,1,1,0,0,0,718,928,617,909
211,20,2,2,5,6,0,904,0,0,0,0,0,157,267,27,18
212,3,0,1,1,2,0,376,0,1,0,0,0,32,217,394,1203
462,13,3,1,11,22,0,118,0,0,0,0,0,166,204,458,2209
463,34,5,3,35,34,2,272,0,0,0,0,0,414,214,91,155
464,16,0,0,4,12,0,171,0,0,0,0,0,261,56,11,3
411,4,0,3,5,1,0,191,0,0,0,0,0,25,42,258,9
410,5,1,2,5,2,0,410,0,0,0,0,0,167,181,143,4
412,9,1,2,6,8,0,227,0,0,0,0,0,0,68,86,2
416,4,3,4,5,4,0,127,0,1,0,0,0,0,168,109,7
405,11,2,1,8,11,0,194,0,0,0,0,0,49,123,144,33
404,2,0,0,5,3,0,176,0,1,0,0,0,68,94,165,6
406,4,0,0,4,1,0,659,0,0,0,0,0,121,121,353,72
407,16,4,2,12,8,0,765,0,1,0,0,0,191,220,124,128
401,5,0,0,0,7,0,163,0,0,0,0,0,45,89,151,191
402,14,4,3,19,9,0,434,0,0,0,0,0,56,126,381,44
403,14,3,1,6,4,0,736,0,0,0,0,0,428,161,433,64
408,4,1,1,3,3,0,282,0,0,0,0,0,83,77,149,42
417,9,3,2,6,9,0,246,0,0,0,0,0,10,113,93,14
413,4,0,0,2,9,0,209,0,0,0,0,0,56,82,173,89
418,4,0,2,9,4,0,566,0,0,0,0,0,163,162,309,39
414,13,1,3,12,13,0,625,0,0,0,0,0,156,123,96,85
415,7,3,2,16,7,0,573,0,1,0,0,0,305,285,343,34
419,6,0,6,1,3,0,270,0,0,0,0,0,43,96,71,46
461,78,5,5,21,66,5,475,0,1,0,0,0,408,270,464,46
409,5,0,1,1,3,0,332,0,0,0,0,0,84,39,72,30
1015,1,0,1,4,3,0,144,0,0,0,0,0,31,19,13,8
1016,25,7,3,33,27,0,302,0,0,0,0,0,76,206,163,146
1017,21,0,1,8,14,0,318,0,0,0,0,0,164,168,12,30
1019,14,2,1,13,8,0,169,0,0,0,0,0,0,151,48,82
1018,6,0,0,8,0,0,95,0,1,0,0,0,18,93,21,113
1020,35,3,3,23,29,0,457,0,0,0,0,0,318,151,493,128
1021,8,0,1,3,12,0,189,0,0,0,0,0,34,53,46,7
1061,211,2,6,49,130,1,788,0,0,0,0,0,791,253,358,429
1062,23,0,0,1,6,0,131,0,0,0,0,0,154,161,13,35
1063,17,1,0,6,10,0,43,0,0,0,0,0,49,72,20,13
1001,14,1,2,12,6,0,1315,0,0,0,0,0,101,239,54,64
1002,18,0,0,4,16,0,447,0,0,0,0,0,408,80,24,12
1003,3,0,0,10,3,0,165,0,0,0,0,0,0,208,77,16
1004,2,1,1,5,2,0,149,0,0,0,0,0,61,106,29,12
1005,25,0,5,43,43,0,453,0,0,0,0,0,358,146,45,2
1006,11,1,3,11,6,0,449,0,0,0,0,0,168,88,162,72
1007,4,0,1,5,7,0,301,0,0,0,0,0,199,173,66,35
1008,22,4,0,11,19,0,398,0,0,0,0,1,102,136,190,48
1009,7,2,1,5,3,0,439,0,0,0,0,0,42,52,71,25
1010,4,0,1,9,6,0,367,0,0,0,0,0,244,58,142,75
1011,11,1,2,10,16,0,288,0,0,0,0,0,50,183,82,71
1012,17,1,1,24,6,0,473,0,0,0,0,0,263,75,107,24
1013,3,0,0,2,3,0,132,0,0,0,0,0,27,82,43,3
1014,17,0,2,5,8,0,323,0,0,0,0,0,158,234,138,33
601,13,1,4,16,9,0,740,0,0,0,0,0,141,214,347,35
602,43,0,2,18,26,0,324,0,0,0,0,0,27,502,236,191
603,5,2,3,7,3,0,533,0,0,0,0,0,37,150,181,24
604,6,1,4,5,8,0,329,0,0,0,0,0,85,68,51,81
605,12,0,1,5,6,0,174,0,0,0,0,0,90,11,89,102
606,26,0,1,10,20,0,295,0,0,0,0,0,85,109,135,35
607,21,1,2,10,6,0,250,0,0,0,0,0,112,77,73,94
608,14,3,3,8,4,0,222,0,0,0,0,0,176,177,38,54
609,42,3,6,37,12,1,815,2,0,0,0,0,212,667,232,1164
610,12,0,1,7,4,0,269,0,0,0,0,0,78,121,7,31
611,27,0,1,14,8,0,327,0,0,0,0,0,98,188,943,86
612,10,3,2,15,6,0,132,0,1,0,0,0,0,201,65,35
613,2,0,0,3,2,0,164,0,0,0,0,0,3,133,40,13
614,34,6,3,34,17,0,508,0,0,0,0,0,56,338,171,114
615,5,1,0,8,5,0,124,0,0,0,0,0,163,48,65,26
616,5,1,0,7,2,0,110,0,0,0,0,0,151,36,85,24
617,31,0,1,7,12,0,194,0,0,0,0,0,56,165,184,91
618,14,2,0,13,10,0,348,0,0,0,0,0,67,73,94,11
661,13,0,1,5,12,1,60,0,0,0,0,0,49,59,52,32
619,4,0,2,11,4,0,197,0,0,0,0,0,16,91,78,36
620,22,1,4,13,12,0,896,0,0,0,0,0,162,164,473,48
663,158,16,7,37,74,6,458,0,0,0,0,0,131,1027,218,484
662,25,4,3,10,14,0,113,0,0,0,0,0,60,129,148,24
664,36,1,2,28,30,0,42,0,0,0,0,0,126,28,190,21
811,18,3,1,9,22,0,352,0,0,0,0,0,153,194,132,38
812,7,1,0,6,7,0,212,0,0,0,0,0,42,91,10,7
862,48,0,0,0,37,2,218,0,0,0,0,0,55,259,260,70
861,33,0,2,8,39,0,224,0,3,0,0,0,130,348,114,259
801,4,0,1,1,3,0,508,0,0,0,0,0,27,141,142,39
802,15,4,2,11,13,0,546,0,0,0,0,0,142,162,71,35
